div,season,phase,date,home,away,fh,fa
RUS,2025-26,regular,,Orenburg,Sochi,3,1
RUS,2025-26,regular,,Orenburg,Spartak Moscow,0,2
RUS,2025-26,regular,,Orenburg,Zenit Saint Petersburg,2,1
RUS,2025-26,regular,,Pari Nizhny Novgorod,Akhmat Grozny,1,2
RUS,2025-26,regular,,Pari Nizhny Novgorod,Akron Tolyatti,0,1
RUS,2025-26,regular,,Pari Nizhny Novgorod,Baltika Kaliningrad,0,0
RUS,2025-26,regular,,Pari Nizhny Novgorod,CSKA Moscow,1,2
RUS,2025-26,regular,,Pari Nizhny Novgorod,Dynamo Makhachkala,2,0
RUS,2025-26,regular,,Pari Nizhny Novgorod,Dynamo Moscow,1,1
RUS,2025-26,regular,,Pari Nizhny Novgorod,Krasnodar,0,3
RUS,2025-26,regular,,Pari Nizhny Novgorod,Krylia Sovetov Samara,3,0
RUS,2025-26,regular,,Pari Nizhny Novgorod,Lokomotiv Moscow,2,3
RUS,2025-26,regular,,Pari Nizhny Novgorod,Orenburg,3,1
RUS,2025-26,regular,,Pari Nizhny Novgorod,Rostov,0,1
RUS,2025-26,regular,,Pari Nizhny Novgorod,Rubin Kazan,0,0
RUS,2025-26,regular,,Pari Nizhny Novgorod,Sochi,2,1
RUS,2025-26,regular,,Pari Nizhny Novgorod,Spartak Moscow,1,2
RUS,2025-26,regular,,Pari Nizhny Novgorod,Zenit Saint Petersburg,0,2
RUS,2025-26,regular,,Rostov,Akhmat Grozny,1,1
RUS,2025-26,regular,,Rostov,Akron Tolyatti,0,1
RUS,2025-26,regular,,Rostov,Baltika Kaliningrad,1,1
RUS,2025-26,regular,,Rostov,CSKA Moscow,1,0
RUS,2025-26,regular,,Rostov,Dynamo Makhachkala,1,1
RUS,2025-26,regular,,Rostov,Dynamo Moscow,0,1
RUS,2025-26,regular,,Rostov,Krasnodar,0,0
RUS,2025-26,regular,,Rostov,Krylia Sovetov Samara,1,4
RUS,2025-26,regular,,Rostov,Lokomotiv Moscow,1,3
RUS,2025-26,regular,,Rostov,Orenburg,0,1
RUS,2025-26,regular,,Rostov,Pari Nizhny Novgorod,1,0
RUS,2025-26,regular,,Rostov,Rubin Kazan,2,0
RUS,2025-26,regular,,Rostov,Sochi,0,1
RUS,2025-26,regular,,Rostov,Spartak Moscow,1,1
RUS,2025-26,regular,,Rostov,Zenit Saint Petersburg,0,1
RUS,2025-26,regular,,Rubin Kazan,Akhmat Grozny,1,0
RUS,2025-26,regular,,Rubin Kazan,Akron Tolyatti,1,1
RUS,2025-26,regular,,Rubin Kazan,Baltika Kaliningrad,0,3
RUS,2025-26,regular,,Rubin Kazan,CSKA Moscow,0,0
RUS,2025-26,regular,,Rubin Kazan,Dynamo Makhachkala,1,0
RUS,2025-26,regular,,Rubin Kazan,Dynamo Moscow,0,0
RUS,2025-26,regular,,Rubin Kazan,Krasnodar,2,1
RUS,2025-26,regular,,Rubin Kazan,Krylia Sovetov Samara,2,0
RUS,2025-26,regular,,Rubin Kazan,Lokomotiv Moscow,3,0
RUS,2025-26,regular,,Rubin Kazan,Orenburg,0,0
RUS,2025-26,regular,,Rubin Kazan,Pari Nizhny Novgorod,2,2
RUS,2025-26,regular,,Rubin Kazan,Rostov,1,0
RUS,2025-26,regular,,Rubin Kazan,Sochi,2,1
RUS,2025-26,regular,,Rubin Kazan,Spartak Moscow,0,2
RUS,2025-26,regular,,Rubin Kazan,Zenit Saint Petersburg,2,2
RUS,2025-26,regular,,Sochi,Akhmat Grozny,1,1
RUS,2025-26,regular,,Sochi,Akron Tolyatti,0,4
RUS,2025-26,regular,,Sochi,Baltika Kaliningrad,0,2
RUS,2025-26,regular,,Sochi,CSKA Moscow,1,3
RUS,2025-26,regular,,Sochi,Dynamo Makhachkala,0,0
RUS,2025-26,regular,,Sochi,Dynamo Moscow,1,1
RUS,2025-26,regular,,Sochi,Krasnodar,1,2
RUS,2025-26,regular,,Sochi,Krylia Sovetov Samara,2,1
RUS,2025-26,regular,,Sochi,Lokomotiv Moscow,2,4
RUS,2025-26,regular,,Sochi,Orenburg,3,1
RUS,2025-26,regular,,Sochi,Pari Nizhny Novgorod,2,1
RUS,2025-26,regular,,Sochi,Rostov,0,1
RUS,2025-26,regular,,Sochi,Rubin Kazan,0,1
RUS,2025-26,regular,,Sochi,Spartak Moscow,2,3
RUS,2025-26,regular,,Sochi,Zenit Saint Petersburg,0,3
RUS,2025-26,regular,,Spartak Moscow,Akhmat Grozny,3,1
RUS,2025-26,regular,,Spartak Moscow,Akron Tolyatti,4,3
RUS,2025-26,regular,,Spartak Moscow,Baltika Kaliningrad,0,3
RUS,2025-26,regular,,Spartak Moscow,CSKA Moscow,1,0
RUS,2025-26,regular,,Spartak Moscow,Dynamo Makhachkala,1,0
RUS,2025-26,regular,,Spartak Moscow,Dynamo Moscow,1,1
RUS,2025-26,regular,,Spartak Moscow,Krasnodar,1,2
RUS,2025-26,regular,,Spartak Moscow,Krylia Sovetov Samara,2,1
RUS,2025-26,regular,,Spartak Moscow,Lokomotiv Moscow,2,1
RUS,2025-26,regular,,Spartak Moscow,Orenburg,1,0
RUS,2025-26,regular,,Spartak Moscow,Pari Nizhny Novgorod,3,0
RUS,2025-26,regular,,Spartak Moscow,Rostov,1,1
RUS,2025-26,regular,,Spartak Moscow,Rubin Kazan,2,1
RUS,2025-26,regular,,Spartak Moscow,Sochi,2,1
RUS,2025-26,regular,,Spartak Moscow,Zenit Saint Petersburg,2,2
RUS,2025-26,regular,,Zenit Saint Petersburg,Akhmat Grozny,2,0
RUS,2025-26,regular,,Zenit Saint Petersburg,Akron Tolyatti,2,0
RUS,2025-26,regular,,Zenit Saint Petersburg,Baltika Kaliningrad,1,0
RUS,2025-26,regular,,Zenit Saint Petersburg,CSKA Moscow,1,1
RUS,2025-26,regular,,Zenit Saint Petersburg,Dynamo Makhachkala,4,0
RUS,2025-26,regular,,Zenit Saint Petersburg,Dynamo Moscow,2,1
RUS,2025-26,regular,,Zenit Saint Petersburg,Krasnodar,1,1
RUS,2025-26,regular,,Zenit Saint Petersburg,Krylia Sovetov Samara,2,1
RUS,2025-26,regular,,Zenit Saint Petersburg,Lokomotiv Moscow,2,0
RUS,2025-26,regular,,Zenit Saint Petersburg,Orenburg,5,2
RUS,2025-26,regular,,Zenit Saint Petersburg,Pari Nizhny Novgorod,2,0
RUS,2025-26,regular,,Zenit Saint Petersburg,Rostov,2,1
RUS,2025-26,regular,,Zenit Saint Petersburg,Rubin Kazan,1,0
RUS,2025-26,regular,,Zenit Saint Petersburg,Sochi,2,1
RUS,2025-26,regular,,Zenit Saint Petersburg,Spartak Moscow,2,0
